Тип обладнання;Номер об'єкту;Адреса;Статус обладнання;Техогляд план 01;Техогляд план 02 ;Техогляд план 03;Техогляд план 04;Техогляд план 05;Техогляд план 06;Техогляд план 07;Техогляд план 08;Техогляд план 09;Техогляд план 10;Техогляд план 11;Техогляд план 12;Регулювання план 04;Регулювання план 10;Техобслуговування план;Плановий ремонт план;Техогляд факт 01;Техогляд факт 02 ;Техогляд факт 03;Техогляд факт 04;Техогляд факт 05;Техогляд факт 06;Техогляд факт 07;Техогляд факт 08;Техогляд факт 09;Техогляд факт 10;Техогляд факт 11;Техогляд факт 12;Регулювання факт 04;Регулювання факт 10;Техобслуговування факт;Плановий ремонт факт
ШГРП;№01150167;Хмільницький район село Корделівка Зелена ;включене;13;12;14;14;14;13;11;11;10;10;10;10;14;10;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150168;Хмільницький район село Миколаївка;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ШГРП;№01150169;Хмільницький район місто Калинівка Машинобуд. (Ларіс);включене;23;18;18;15;13;6;7;5;2;9;3;3;15;9;22.Лип;22.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150170;Хмільницький район село Сальник Зерносушка;включене;17;17;19;18;19;18;18;18;19;17;14;15;18;17;04.Сер;04.Сер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150171;Хмільницький район село ГущинціГагаріна;включене;20;19;21;21;21;20;21;20;19;20;18;18;21;20;04.Бер;04.Бер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150172;Хмільницький район село Грушківці ;включене;6;5;7;1;01            30;27;28;27;26;1;21;19;1;1;30.Вер;30.Вер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;2
ШГРП;№01150173;Хмільницький район місто Калинівка Незалежн. АТБ;включене;23;18;18;15;13;6;7;5;2;9;3;3;15;9;07.Тра;07.Тра;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150174;Хмільницький район село Писарівка Шевченко ;включене;13;12;14;14;14;13;11;11;10;10;10;10;14;10;10.Бер;10.Бер;1;1;1;1;1;1;1;1;3;2;2;2;1;2;1;1
ШГРП;№01150175;Хмільницький район селище Яблуневе Лісова;включене;6;5;7;1;01         30;27;28;27;26;1;21;19;1;1;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150176;Хмільницький район село Жигалівка Проданова ;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГРУ;№01150001;Хмільницький район село Корделівка Київська 1;включене;13;12;14;14;14;13;11;11;10;10;10;10;14;10;30.Вер;30.Вер;1;1;1;1;1;1;1;1;3;2;2;2;1;2;2;2
ГРУ;№01150002;Хмільницький район місто Калинівка Медична;включене;23;18;18;15;13;6;7;5;2;9;3;3;15;9;15.Лип;15.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2
ГРУ;№01150003;Хмільницький район місто Калинівка Арсенальна;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГРУ;№01150004;Хмільницький район село Корделівка Шкільна ;включене;13;12;14;14;14;13;11;11;10;10;10;10;14;10;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ГРУ;№01150005;Хмільницький район село Дружелюбівка;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГРУ;№01150006;Хмільницький район село Гущинці Шевченко (ВПУ);включене;20;19;21;21;21;20;21;20;19;20;18;18;21;20;31.Лип;31.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
